team_name,league,latitude,longitude,status
Anderlecht,B1,50.8340203,4.2978547,success
Beerschot VA,B1,51.1856589,4.387084,success
Cercle Brugge,B1,,,failed
Charleroi,B1,50.4146057,4.4537327,success
Club Brugge,B1,51.3269145,3.189557,success
Genk,B1,50.9886405,5.520155,success
Gent,B1,51.0510954,3.7089472,success
Kortrijk,B1,50.7867444,3.1673421,success
Lierse,B1,51.0667698,4.4837031,success
Lokeren,B1,51.1044488,3.9898689,success
Mechelen,B1,51.0686012,4.4400457,success
Mouscron,B1,50.7436672,3.2142729,success
Mouscron-Peruwelz,B1,50.5060666,3.5988573,success
Oostende,B1,51.2258565,2.919496,success
Oud-Heverlee Leuven,B1,50.8263952,4.6604643,success
RAAL La Louviere,B1,50.4676645,4.1147271,success
RWD Molenbeek,B1,,,failed
Seraing,B1,50.5951984,5.5385355,success
St Truiden,B1,50.8134975,5.1661364,success
St. Gilloise,B1,50.8056154,4.3296712,success
Waasland-Beveren,B1,51.2437278,4.1959734,success
Waregem,B1,50.8868222,3.4323622,success
Westerlo,B1,51.086694,4.9168675,success
Augsburg,D1,48.3231179,10.885879,success
Bayern Munich,D1,48.1731314,11.5464786,success
Bielefeld,D1,52.0191005,8.531007,success
Bochum,D1,51.4695221,7.2417465,success
Braunschweig,D1,52.3327757,10.5165744,success
Darmstadt,D1,49.8510637,8.64124,success
Dortmund,D1,51.4924922,7.4518549,success
Ein Frankfurt,D1,50.1363551,8.6682317,success
FC Koln,D1,50.9069197,6.9040912,success
Fortuna Dusseldorf,D1,51.2268801,6.8133931,success
Greuther Furth,D1,49.5003763,10.996705,success
Hamburg,D1,53.5503968,9.9952523,success
Hannover,D1,52.3766391,9.77273,success
Heidenheim,D1,48.6685245,10.1392963,success
Hertha,D1,52.5145846,13.2398144,success
Hoffenheim,D1,49.2380604,8.8876414,success
Holstein Kiel,D1,54.3190039,10.1014959,success
Ingolstadt,D1,48.7322804,11.4361318,success
Kaiserslautern,D1,49.4808719,7.7765038,success
Leverkusen,D1,51.0324743,6.9881194,success
M'gladbach,D1,50.4541589,7.5410377,success
Mainz,D1,50.0008704,8.245563,success
Nurnberg,D1,49.4276033,11.1229023,success
Paderborn,D1,51.7177044,8.752653,success
RB Leipzig,D1,51.3457079,12.3482361,success
Schalke 04,D1,51.5580634,7.0634587,success
St Pauli,D1,53.5546486,9.9690494,success
Stuttgart,D1,48.7922487,9.2320857,success
Werder Bremen,D1,53.057718,8.8523703,success
Wolfsburg,D1,52.4344908,10.8068574,success
Aachen,D2,50.7955364,6.0942621,success
Aalen,D2,48.8375607,10.0929593,success
Augsburg,D2,48.3231179,10.885879,success
Bielefeld,D2,52.0191005,8.531007,success
Bochum,D2,51.4695221,7.2417465,success
Braunschweig,D2,52.3327757,10.5165744,success
Cottbus,D2,51.7345332,14.3223664,success
Darmstadt,D2,49.8510637,8.64124,success
Duisburg,D2,51.4049404,6.7797033,success
Ein Frankfurt,D2,50.1363551,8.6682317,success
Elversberg,D2,49.31539,7.1268184,success
Erzgebirge Aue,D2,50.5979205,12.7087091,success
FC Koln,D2,50.9069197,6.9040912,success
Fortuna Dusseldorf,D2,51.2268801,6.8133931,success
Frankfurt FSV,D2,50.128031,8.7231876,success
Greuther Furth,D2,49.5003763,10.996705,success
Hamburg,D2,53.5503968,9.9952523,success
Hannover,D2,52.3766391,9.77273,success
Hansa Rostock,D2,54.116005,12.0527635,success
Heidenheim,D2,48.6685245,10.1392963,success
Hertha,D2,52.5145846,13.2398144,success
Holstein Kiel,D2,54.3190039,10.1014959,success
Ingolstadt,D2,48.7322804,11.4361318,success
Kaiserslautern,D2,49.4808719,7.7765038,success
Karlsruhe,D2,49.0179109,8.4653798,success
Magdeburg,D2,52.1525895,11.6836564,success
Munich 1860,D2,48.1371079,11.5753822,success
Nurnberg,D2,49.4276033,11.1229023,success
Oberhausen,D2,51.5206794,6.8409006,success
Osnabruck,D2,52.2765532,8.0219645,success
Paderborn,D2,51.7177044,8.752653,success
Preußen Münster,D2,51.9310428,7.6254232,success
RB Leipzig,D2,51.3457079,12.3482361,success
Regensburg,D2,48.9908566,12.1073501,success
Sandhausen,D2,49.3341259,8.6469914,success
Schalke 04,D2,51.5580634,7.0634587,success
St Pauli,D2,53.5546486,9.9690494,success
Stuttgart,D2,48.7922487,9.2320857,success
Wehen,D2,50.152338,8.1836014,success
Werder Bremen,D2,53.057718,8.8523703,success
Wurzburger Kickers,D2,49.7790965,9.9621004,success
Aston Villa,E0,52.5091264,-1.8850354,success
Bolton,E0,53.5805396,-2.5356648,success
Bournemouth,E0,50.7351814,-1.8383279,success
Brentford,E0,51.490713,-0.2889802,success
Brighton,E0,50.8615471,-0.0836931,success
Burnley,E0,53.8054523,-2.2952421,success
Cardiff,E0,51.4782485,-3.1826256,success
Chelsea,E0,51.4792191,-0.1808217,success
Crystal Palace,E0,51.4191635,-0.0687969,success
Fulham,E0,51.482781,-0.1912833,success
