team_name,league,latitude,longitude,altitude,country,city,stadium,status,coord_source
Anderlecht,B1,50.8340203,4.2978547,0.0,Belgium,Brussels,Unknown,success,stadium_coordinates
Antwerp,B1,51.1856589,4.387084,0.0,Belgium,Antwerp,Unknown,success,city_avg_from_existing
Beerschot VA,B1,51.1856589,4.387084,0.0,Belgium,Antwerp,Unknown,success,stadium_coordinates
Bergen,B1,50.4542,3.9567,0.0,Belgium,Mons,Unknown,success,city_manual
Cercle Brugge,B1,51.193269,3.181311,0.0,Belgium,Brugge,Unknown,success,stadium_coordinates
Charleroi,B1,50.4146057,4.4537327,0.0,Belgium,Charleroi,Unknown,success,stadium_coordinates
Club Brugge,B1,51.3269145,3.189557,0.0,Belgium,Brugge,Unknown,success,stadium_coordinates
Dender,B1,50.885,4.083,0.0,Belgium,Denderleeuw,Unknown,success,city_manual
Eupen,B1,50.631,6.0386,0.0,Belgium,Eupen,Unknown,success,city_manual
Genk,B1,50.9886405,5.520155,0.0,Belgium,Genk,Unknown,success,stadium_coordinates
Gent,B1,51.0510954,3.7089472,0.0,Belgium,Gent,Unknown,success,stadium_coordinates
Germinal,B1,51.1856589,4.387084,0.0,Belgium,Antwerp,Unknown,success,city_avg_from_existing
Kortrijk,B1,50.7867444,3.1673421,0.0,Belgium,Kortrijk,Unknown,success,stadium_coordinates
Lierse,B1,51.0667698,4.4837031,0.0,Belgium,Lierse,Unknown,success,stadium_coordinates
Lokeren,B1,51.1044488,3.9898689,0.0,Belgium,Lokeren,Unknown,success,stadium_coordinates
Mechelen,B1,51.0686012,4.4400457,0.0,Belgium,Mechelen,Unknown,success,stadium_coordinates
Mouscron,B1,50.7436672,3.2142729,0.0,Belgium,Mouscron,Unknown,success,stadium_coordinates
Mouscron-Peruwelz,B1,50.5060666,3.5988573,0.0,Belgium,Mouscron-Peruwelz,Unknown,success,stadium_coordinates
Oostende,B1,51.2258565,2.919496,0.0,Belgium,Oostende,Unknown,success,stadium_coordinates
Oud-Heverlee Leuven,B1,50.8263952,4.6604643,0.0,Belgium,Leuven,Unknown,success,stadium_coordinates
RAAL La Louviere,B1,50.4676645,4.1147271,0.0,Belgium,La Louviere,Unknown,success,stadium_coordinates
RWD Molenbeek,B1,50.855066,4.310618,0.0,Belgium,Molenbeek,Unknown,success,stadium_coordinates
Seraing,B1,50.5951984,5.5385355,0.0,Belgium,Seraing,Unknown,success,stadium_coordinates
St Truiden,B1,50.8134975,5.1661364,0.0,Belgium,St Truiden,Unknown,success,stadium_coordinates
St. Gilloise,B1,50.8056154,4.3296712,0.0,Belgium,St Gilloise,Unknown,success,stadium_coordinates
Standard,B1,50.6326,5.5797,0.0,Belgium,Liege,Unknown,success,city_manual
Waasland-Beveren,B1,51.2437278,4.1959734,0.0,Belgium,Waasland-Beveren,Unknown,success,stadium_coordinates
Waregem,B1,50.8868222,3.4323622,0.0,Belgium,Waregem,Unknown,success,stadium_coordinates
Westerlo,B1,51.086694,4.9168675,0.0,Belgium,Westerlo,Unknown,success,stadium_coordinates
Augsburg,D1,48.3231179,10.885879,0.0,Germany,Augsburg,Unknown,success,stadium_coordinates
Bayern Munich,D1,48.1731314,11.5464786,0.0,Germany,Munich,Unknown,success,stadium_coordinates
Bielefeld,D1,52.0191005,8.531007,0.0,Germany,Bielefeld,Unknown,success,stadium_coordinates
Bochum,D1,51.4695221,7.2417465,0.0,Germany,Bochum,Unknown,success,stadium_coordinates
Braunschweig,D1,52.3327757,10.5165744,0.0,Germany,Braunschweig,Unknown,success,stadium_coordinates
Darmstadt,D1,49.8510637,8.64124,0.0,Germany,Darmstadt,Unknown,success,stadium_coordinates
Dortmund,D1,51.4924922,7.4518549,0.0,Germany,Dortmund,Unknown,success,stadium_coordinates
Ein Frankfurt,D1,50.1363551,8.6682317,0.0,Germany,Frankfurt,Unknown,success,stadium_coordinates
FC Koln,D1,50.9069197,6.9040912,0.0,Germany,Koln,Unknown,success,stadium_coordinates
Fortuna Dusseldorf,D1,51.2268801,6.8133931,0.0,Germany,Dusseldorf,Unknown,success,stadium_coordinates
Freiburg,D1,47.999,7.8421,0.0,Germany,Freiburg,Unknown,success,city_manual
Greuther Furth,D1,49.5003763,10.996705,0.0,Germany,Furth,Unknown,success,stadium_coordinates
