team,league,latitude,longitude,altitude,country,city,stadium
Anderlecht,B1,50.8340203,4.2978547,0.0,Belgium,Brussels,Unknown
Antwerp,B1,51.1856589,4.387084,0.0,Belgium,Antwerp,Unknown
Beerschot VA,B1,51.1856589,4.387084,0.0,Belgium,Antwerp,Unknown
Bergen,B1,50.4542,3.9567,0.0,Belgium,Mons,Unknown
Cercle Brugge,B1,51.193269,3.181311,0.0,Belgium,Brugge,Unknown
Charleroi,B1,50.4146057,4.4537327,0.0,Belgium,Charleroi,Unknown
Club Brugge,B1,51.3269145,3.189557,0.0,Belgium,Brugge,Unknown
Dender,B1,50.885,4.083,0.0,Belgium,Denderleeuw,Unknown
Eupen,B1,50.631,6.0386,0.0,Belgium,Eupen,Unknown
Genk,B1,50.9886405,5.520155,0.0,Belgium,Genk,Unknown
Gent,B1,51.0510954,3.7089472,0.0,Belgium,Gent,Unknown
Germinal,B1,51.1856589,4.387084,0.0,Belgium,Antwerp,Unknown
Kortrijk,B1,50.7867444,3.1673421,0.0,Belgium,Kortrijk,Unknown
Lierse,B1,51.0667698,4.4837031,0.0,Belgium,Lierse,Unknown
Lokeren,B1,51.1044488,3.9898689,0.0,Belgium,Lokeren,Unknown
Mechelen,B1,51.0686012,4.4400457,0.0,Belgium,Mechelen,Unknown
Mouscron,B1,50.7436672,3.2142729,0.0,Belgium,Mouscron,Unknown
Mouscron-Peruwelz,B1,50.5060666,3.5988573,0.0,Belgium,Mouscron-Peruwelz,Unknown
Oostende,B1,51.2258565,2.919496,0.0,Belgium,Oostende,Unknown
Oud-Heverlee Leuven,B1,50.8263952,4.6604643,0.0,Belgium,Leuven,Unknown
RAAL La Louviere,B1,50.4676645,4.1147271,0.0,Belgium,La Louviere,Unknown
RWD Molenbeek,B1,50.855066,4.310618,0.0,Belgium,Molenbeek,Unknown
Seraing,B1,50.5951984,5.5385355,0.0,Belgium,Seraing,Unknown
St Truiden,B1,50.8134975,5.1661364,0.0,Belgium,St Truiden,Unknown
St. Gilloise,B1,50.8056154,4.3296712,0.0,Belgium,St Gilloise,Unknown
Standard,B1,50.6326,5.5797,0.0,Belgium,Liege,Unknown
Waasland-Beveren,B1,51.2437278,4.1959734,0.0,Belgium,Waasland-Beveren,Unknown
Waregem,B1,50.8868222,3.4323622,0.0,Belgium,Waregem,Unknown
Westerlo,B1,51.086694,4.9168675,0.0,Belgium,Westerlo,Unknown
Augsburg,D1,48.3231179,10.885879,0.0,Germany,Augsburg,Unknown
Bayern Munich,D1,48.1731314,11.5464786,0.0,Germany,Munich,Unknown
Bielefeld,D1,52.0191005,8.531007,0.0,Germany,Bielefeld,Unknown
Bochum,D1,51.4695221,7.2417465,0.0,Germany,Bochum,Unknown
Braunschweig,D1,52.3327757,10.5165744,0.0,Germany,Braunschweig,Unknown
Darmstadt,D1,49.8510637,8.64124,0.0,Germany,Darmstadt,Unknown
Dortmund,D1,51.4924922,7.4518549,0.0,Germany,Dortmund,Unknown
Ein Frankfurt,D1,50.1363551,8.6682317,0.0,Germany,Frankfurt,Unknown
FC Koln,D1,50.9069197,6.9040912,0.0,Germany,Koln,Unknown
Fortuna Dusseldorf,D1,51.2268801,6.8133931,0.0,Germany,Dusseldorf,Unknown
Freiburg,D1,47.999,7.8421,0.0,Germany,Freiburg,Unknown
Greuther Furth,D1,49.5003763,10.996705,0.0,Germany,Furth,Unknown
Hamburg,D1,53.5503968,9.9952523,0.0,Germany,Hamburg,Unknown
Hannover,D1,52.3766391,9.77273,0.0,Germany,Hannover,Unknown
Heidenheim,D1,48.6685245,10.1392963,0.0,Germany,Heidenheim,Unknown
Hertha,D1,52.5145846,13.2398144,0.0,Germany,Hertha,Unknown
Hoffenheim,D1,49.2380604,8.8876414,0.0,Germany,Hoffenheim,Unknown
Holstein Kiel,D1,54.3190039,10.1014959,0.0,Germany,Kiel,Unknown
Ingolstadt,D1,48.7322804,11.4361318,0.0,Germany,Ingolstadt,Unknown
Kaiserslautern,D1,49.4808719,7.7765038,0.0,Germany,Kaiserslautern,Unknown
Leverkusen,D1,51.0324743,6.9881194,0.0,Germany,Leverkusen,Unknown
M'gladbach,D1,50.4541589,7.5410377,0.0,Germany,Mgladbach,Unknown
Mainz,D1,50.0008704,8.245563,0.0,Germany,Mainz,Unknown
Nurnberg,D1,49.4276033,11.1229023,0.0,Germany,Nurnberg,Unknown
Paderborn,D1,51.7177044,8.752653,0.0,Germany,Paderborn,Unknown
RB Leipzig,D1,51.3457079,12.3482361,0.0,Germany,Leipzig,Unknown
Schalke 04,D1,51.5580634,7.0634587,0.0,Germany,Gelsenkirchen,Unknown
St Pauli,D1,53.5546486,9.9690494,0.0,Germany,St Pauli,Unknown
Stuttgart,D1,48.7922487,9.2320857,0.0,Germany,Stuttgart,Unknown
Union Berlin,D1,52.52,13.405,0.0,Germany,Berlin,Unknown
Werder Bremen,D1,53.057718,8.8523703,0.0,Germany,Bremen,Unknown
Wolfsburg,D1,52.4344908,10.8068574,0.0,Germany,Wolfsburg,Unknown
