team,league,country,city,status,coord_source,latitude,longitude
Anderlecht,B1,Belgium,Brussels,success,stadium_coordinates,50.8340203,4.2978547
Antwerp,B1,Belgium,Antwerp,missing,city_avg_from_existing,51.1856589,4.387084
Beerschot VA,B1,Belgium,Antwerp,success,stadium_coordinates,51.1856589,4.387084
Bergen,B1,Belgium,Mons,missing,city_manual,50.4542,3.9567
Cercle Brugge,B1,Belgium,Brugge,success,stadium_coordinates,51.193269,3.181311
Charleroi,B1,Belgium,Charleroi,success,stadium_coordinates,50.4146057,4.4537327
Club Brugge,B1,Belgium,Brugge,success,stadium_coordinates,51.3269145,3.189557
Dender,B1,Belgium,Denderleeuw,missing,city_manual,50.885,4.083
Eupen,B1,Belgium,Eupen,missing,city_manual,50.631,6.0386
Genk,B1,Belgium,Genk,success,stadium_coordinates,50.9886405,5.520155
Gent,B1,Belgium,Gent,success,stadium_coordinates,51.0510954,3.7089472
Germinal,B1,Belgium,Antwerp,missing,city_avg_from_existing,51.1856589,4.387084
Kortrijk,B1,Belgium,Kortrijk,success,stadium_coordinates,50.7867444,3.1673421
Lierse,B1,Belgium,Lierse,success,stadium_coordinates,51.0667698,4.4837031
Lokeren,B1,Belgium,Lokeren,success,stadium_coordinates,51.1044488,3.9898689
Mechelen,B1,Belgium,Mechelen,success,stadium_coordinates,51.0686012,4.4400457
Mouscron,B1,Belgium,Mouscron,success,stadium_coordinates,50.7436672,3.2142729
Mouscron-Peruwelz,B1,Belgium,Mouscron-Peruwelz,success,stadium_coordinates,50.5060666,3.5988573
Oostende,B1,Belgium,Oostende,success,stadium_coordinates,51.2258565,2.919496
Oud-Heverlee Leuven,B1,Belgium,Leuven,success,stadium_coordinates,50.8263952,4.6604643
RAAL La Louviere,B1,Belgium,La Louviere,success,stadium_coordinates,50.4676645,4.1147271
RWD Molenbeek,B1,Belgium,Molenbeek,success,stadium_coordinates,50.855066,4.310618
Seraing,B1,Belgium,Seraing,success,stadium_coordinates,50.5951984,5.5385355
