bet_penalty,ev_threshold,bets_placed,roi_on_staked_pct,final_bankroll,policy
0.0005,0.0,6348,-6.61,6.16,models/rl_policy_bp0_ev0.joblib
0.001,0.0,6348,-6.61,6.16,models/rl_policy_bp1_ev0.joblib
0.0025,0.0,6348,-6.61,6.16,models/rl_policy_bp2_ev0.joblib
0.005,0.0,6348,-6.61,6.16,models/rl_policy_bp5_ev0.joblib
0.01,0.0,6348,-6.61,6.16,models/rl_policy_bp10_ev0.joblib
0.0,0.0,6342,-6.64,6.06,models/rl_policy_bp0_ev0.joblib
0.0,0.005,6002,-7.1,8.67,models/rl_policy_bp0_ev5.joblib
0.001,0.005,6010,-7.18,8.93,models/rl_policy_bp1_ev5.joblib
0.0025,0.005,6010,-7.18,8.93,models/rl_policy_bp2_ev5.joblib
0.005,0.005,6010,-7.18,8.93,models/rl_policy_bp5_ev5.joblib
0.01,0.005,6010,-7.18,8.93,models/rl_policy_bp10_ev5.joblib
0.0005,0.005,6007,-7.21,8.7,models/rl_policy_bp0_ev5.joblib
0.0,0.01,5703,-8.16,10.72,models/rl_policy_bp0_ev10.joblib
0.0005,0.01,5705,-8.26,10.51,models/rl_policy_bp0_ev10.joblib
0.001,0.01,5709,-8.27,10.58,models/rl_policy_bp1_ev10.joblib
0.0025,0.01,5709,-8.27,10.58,models/rl_policy_bp2_ev10.joblib
0.005,0.01,5709,-8.27,10.58,models/rl_policy_bp5_ev10.joblib
0.01,0.01,5709,-8.27,10.58,models/rl_policy_bp10_ev10.joblib
0.0025,0.05,3659,-8.85,27.5,models/rl_policy_bp2_ev50.joblib
0.005,0.05,3659,-8.85,27.5,models/rl_policy_bp5_ev50.joblib
0.01,0.05,3659,-8.85,27.5,models/rl_policy_bp10_ev50.joblib
0.0025,0.02,5132,-8.87,12.14,models/rl_policy_bp2_ev20.joblib
0.005,0.02,5132,-8.87,12.14,models/rl_policy_bp5_ev20.joblib
0.01,0.02,5132,-8.87,12.14,models/rl_policy_bp10_ev20.joblib
0.001,0.02,5135,-8.89,12.34,models/rl_policy_bp1_ev20.joblib
0.0005,0.02,5126,-8.9,11.95,models/rl_policy_bp0_ev20.joblib
0.0,0.02,5127,-8.94,11.83,models/rl_policy_bp0_ev20.joblib
0.001,0.05,3658,-9.1,25.73,models/rl_policy_bp1_ev50.joblib
0.0,0.05,3652,-9.16,26.22,models/rl_policy_bp0_ev50.joblib
0.0005,0.05,3653,-9.21,25.96,models/rl_policy_bp0_ev50.joblib
